S.N.,"Governorate
????????","Sub District
???????",Community/Nearest Community,"PCODE
Admin4","Cluster 
?????? / ???????? ","Site Name
??? ??????",PCODE.Sites,Surveys,Type.of.Settlement,Households,Population,Primary.Method.for.Data.Collection,Organisation.Name
413,Aleppo/???,Atareb/?????,Oweijel,C1024,,Alfurkan,,5,collective_centre,726,4356,paper forms,archenova 
76,Aleppo/???,Al Bab/?????,Ma'arrat Tamasrin,C3947,,Al-Baol Camp,,63,collective_centre,336,2014,paper forms,archenova 
310,Aleppo/???,Jarablus/??????,Oweijel,C1024,,Zoghra,,5,,252,1510,paper forms,archenova 
305,Aleppo/???,Jarablus/??????,Ma'arrat Tamasrin,C3947,,Jarablus 4 (Jbel)/ ?????? ??? 4 (???),,3,,200,1200,paper forms,archenova 
300,Aleppo/???,Jarablus/??????,Batenta,C3939,,Al-Jabal,,1,,123,737,paper forms,archenova 
54,Aleppo/???,Al Bab/?????,Kaftin,C3951,,Al Bab,,3,,118,710,paper forms,archenova 
308,Aleppo/???,Jarablus/??????,Maaret Elekhwan,C3950,Maaret Tamsrin,Nour Camp (north of Marma Elhajar),CP000528,2,formal_camp,115,687,paper forms,archenova 
69,Aleppo/???,Al Bab/?????,Batenta,C3939,,Reciption center in Albab,,2,,67,400,paper forms,archenova 
303,Aleppo/???,Jarablus/??????,Zardana mashehad,C3938,,Camp 5/ ?????? ??? 5,,1,,63,379,paper forms,archenova 
1426,Idleb/????,Badama/?????,Kaftin,C3951,,Ein Al Bayda/ ??? ??????? ,,1,,62,372,paper forms,archenova 
1432,Idleb/????,Badama/?????,Kafr - Kafrehmul,C3942,,Salah Alden (Kherbet Eljoz)/ ???? ?????,,2,,41,245,paper forms,archenova 
1425,Idleb/????,Badama/?????,Atma,C4130,Atma,Ataa Al Kheir/ ???? ?????,CP000059,5,informal_settlement,278,1670,KoBo,Global Communities
443,Aleppo/???,Daret Azza/???? ???,Atma,C4130,Atma,Dayer Samaan collections,CP000059,5,informal_settlement,250,1499,KoBo,Global Communities
209,Aleppo/???,Azaz/?????,Sarmada,C4121,Sarmada,Bab Al Noor/ ??? ?????,CP000445,5,informal_settlement,233,1395,Kobo,Global Communities
472,Aleppo/???,Daret Azza/???? ???,Atma,C4130,Atma,Athar Association,CP000059,5,informal_settlement,205,1231,KoBo,Global Communities
410,Aleppo/???,Atareb/?????,Sarmada,C4121,Sarmada,Collection of Maaret Alatareb,CP000453,5,informal_settlement,181,1085,Kobo,Global Communities
478,Aleppo/???,Daret Azza/???? ???,Atma,C4130,Atma,Kasr Alheer Association,CP000059,5,informal_settlement,174,1041,KoBo,Global Communities
468,Aleppo/???,Daret Azza/???? ???,Sarmada,C4121,Sarmada,Alkahraba Association,CP000279,5,informal_settlement,128,765,Kobo,Global Communities
471,Aleppo/???,Daret Azza/???? ???,Termanin,C4125,,Almukawelon Association,,14,collective_centre,124,741,Kobo,Global Communities
467,Aleppo/???,Daret Azza/???? ???,Atma,C4130,Atma,AlEtihad Alarabee Association,CP000059,5,informal_settlement,98,587,KoBo,Global Communities
484,Aleppo/???,Daret Azza/???? ???,Atma,C4130,Atma,Alhadi Association,CP000059,5,informal_settlement,84,505,KoBo,Global Communities
328,Aleppo/???,Atareb/?????,Atma,C4130,Atma,Shelter Centers Alatareb,CP000059,5,informal_settlement,66,396,KoBo,Global Communities
489,Aleppo/???,Daret Azza/???? ???,Atma,C4130,Atma,Migbeena unfinished Houses,CP000059,5,informal_settlement,65,390,KoBo,Global Communities
488,Aleppo/???,Daret Azza/???? ???,Termanin,C4125,Termanin,Almawared Association in Bimigbeena,CP000496,2,collective_centre,13,75,Kobo,Global Communities
476,Aleppo/???,Daret Azza/???? ???,Suran (Al Bab),C1197,,Kareem Association,,34,,2500,15000,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
469,Aleppo/???,Daret Azza/???? ???,Zoghra,C2220,Jarablus,Almakhabez Association,,26,,1716,6738,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
473,Aleppo/???,Daret Azza/???? ???,Jarablus,C2227,Jarablus,Gardeenya Association,CP000017,10,informal_settlement,1312,7870,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
337,Aleppo/???,Atareb/?????,Jarablus,C2227,Jarablus,Alkamouna Camp,,5,,1247,7875,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
492,Aleppo/???,Daret Azza/???? ???,Al Bab,C1202,,Talas Association,,11,,1100,6600,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
408,Aleppo/???,Atareb/?????,Marma Elhajar,C2238,,Second Reif Al-Muhandiseen,,10,,863,4919,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
483,Aleppo/???,Daret Azza/???? ???,Qabasin,C1209,,Albashayer Beedeh,,63,collective_centre,766,4594,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
529,Aleppo/???,Zarbah/??????,Jarablus,C2227,Jarablus,Metcarlo Farms,CP000011,7,informal_settlement,644,3865,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
344,Aleppo/???,Atareb/?????,Lower Jrables,C2226,,Burg Alnumra Camp,,9,,459,2754,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
465,Aleppo/???,Daret Azza/???? ???,Al Bab,C1202,Al Bab,Albashayer Association,CP000457,9,informal_settlement,443,2660,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
464,Aleppo/???,Daret Azza/???? ???,Al Bab,C1202,,Albasel Association,,8,,332,1879,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
1362,Idleb/????,Idleb/????,Atma,C4130,Karama,Idleb,CP000142,5,informal_settlement,316,1895,primary method for data collection paper forms,Insani Yardimmlasma Dernegi – IYD
125,Aleppo/???,Azaz/?????,Jarablus,C2227,Jarablus,Al Mokawama,,1,,285,1245,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
203,Aleppo/???,Azaz/?????,Jarablus,C2227,,Al Resalah (Al Armuda)/ ??????? (????????),,2,,262,1493,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
1395,Idleb/????,Maaret Tamsrin/???? ??????,Atma,C4130,Karama,Shekh Bahr Camps,CP000129,5,informal_settlement,249,1492,primary method for data collection paper forms,Insani Yardimmlasma Dernegi – IYD
1385,Idleb/????,Maaret Tamsrin/???? ??????,Atma,C4130,Atma,Killy camps,,5,,242,1241,primary method for data collection paper forms,Insani Yardimmlasma Dernegi – IYD
1345,Idleb/????,Salqin/?????,Big Nabgha,C2264,,A`edoon,,10,,220,1254,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
1384,Idleb/????,Maaret Tamsrin/???? ??????,Al Bab,C1202,,Kelly mercy Camps,,7,,200,1200,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
1348,Idleb/????,Salqin/?????,Qabasin,C1209,,Al Safsafa/ ????????,,1,informal_settlement,183,897,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
39,Aleppo/???,Jandairis/??????,Atma,C4130,,Al-Mohamadiah,,25,collective_centre,176,1057,primary method for data collection paper forms,Insani Yardimmlasma Dernegi – IYD
654,Idleb/????,Ma'arrat An Nu'man/???? ???? ???????,Tal Aghbar - Tal Elagher,C2260,,Ma'arrat An Nu'man,,10,,156,889,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
622,Idleb/????,Ma'arrat An Nu'man/???? ???? ???????,Atma,C4130,Atma,Dana Camps,,5,,127,661,primary method for data collection paper forms,Insani Yardimmlasma Dernegi – IYD
583,Idleb/????,Kafr Nobol/??? ???,Ghandorah,C2250,,Kafrsjnaa,,15,,120,680,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
1406,Idleb/????,Saraqab/?????,Shahid,C2261,,Saraqab schools,,5,,119,678,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
577,Idleb/????,Kafr Nobol/??? ???,Qadi Jrables,C2254,,collective shelters,,5,,110,627,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
576,Idleb/????,Kafr Nobol/??? ???,Ghandorah,C2250,,altaaon center,,10,,102,581,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
655,Idleb/????,Ma'arrat An Nu'man/???? ???? ???????,Halawaniyeh,C2219,,Ma'rah horma unfinished buliding,,2,,78,390,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
1294,Idleb/????,Harim/????,Al Bab,C1202,,alhaya alkarema mud houses,,3,,70,420,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
586,Idleb/????,Kafr Nobol/??? ???,Jarablus,C2227,,number1,,3,,58,348,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
173,Aleppo/???,Azaz/?????,Al Bab,C1202,,Yazibag_aljabal_camp5,,7,collective_centre,42,197,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
307,Aleppo/???,Jarablus/??????,Sweida - Qorret Tashli,C2259,,Lower Jrables Camp,,5,,40,228,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
232,Aleppo/???,Suran/?????,Ghanameh,C2266,,Albil,,10,,35,188,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
57,Aleppo/???,Al Bab/?????,Ghandorah,C2250,,Duyuf Al Sharqia/ ???? ??????? ,,27,collective_centre,35,185,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
369,Aleppo/???,Atareb/?????,Jeb Eldam Jrables,C2262,,Mahaba Association,,10,,34,195,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
156,Aleppo/???,Azaz/?????,Hfeira,C2243,,Karaj Sijjo North,,5,,32,182,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
1300,Idleb/????,Harim/????,Ghandorah,C2250,,Hayat Karema,,5,,30,175,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
1349,Idleb/????,Salqin/?????,Sheib,C2253,,Altaakhe,,5,,25,145,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
1429,Idleb/????,Badama/?????,Big Mortafaa,C2265,,Omar/ ???,,5,,20,114,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
363,Aleppo/???,Atareb/?????,Qabasin,C1209,,Akbia Association,,1,,13,47,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
26,Aleppo/???,Jandairis/??????,Lilawa,C2268,,Deir Ballut Camp,,5,,13,74,Mobile data collection tool,Insani Yardimmlasma Dernegi – IYD
332,Aleppo/???,Atareb/?????,Kherbet Eljoz,C4231,Kherbet Eljoz,Al Hersh/ ?????,CP000326,20,informal_settlement,945,5668,KOBO,international Association for relief and development (ONSUR)
1421,Idleb/????,Badama/?????,Kherbet Eljoz,C4231,Kherbet Eljoz,Al Hanbushiyeh,CP000113,8,informal_settlement,592,3552,KOBO,international Association for relief and development (ONSUR)
251,Aleppo/???,Suran/?????,Kherbet Eljoz,C4231,Kherbet Eljoz,Ekkdeh/ ?????,CP000325,9,informal_settlement,535,3211,KOBO,international Association for relief and development (ONSUR)
1293,Idleb/????,Harim/????,Kherbet Eljoz,C4231,Kherbet Eljoz,alhaya alkarema,CP000327,3,informal_settlement,382,2294,KOBO,international Association for relief and development (ONSUR)
1359,Idleb/????,Idleb/????,Ein El-Bayda (Badama),C4229,Obein,Abrar Accommodation center,,6,informal_settlement,348,2151,KOBO,international Association for relief and development (ONSUR)
1352,Idleb/????,Salqin/?????,Zayzafun - Ekdeh,C1658,Azaz,Om Al Moa'mnon Camp,CP000006,22,informal_settlement,342,2053,KOBO,international Association for relief and development (ONSUR)
677,Idleb/????,Ariha/???? ?????,Kherbet Eljoz,C4231,Kherbet Eljoz,many collective centers,,5,,317,1415,KOBO,international Association for relief and development (ONSUR)
1392,Idleb/????,Maaret Tamsrin/???? ??????,Kherbet Eljoz,C4231,Kherbet Eljoz,Alfonon school,,5,,283,1421,KOBO,international Association for relief and development (ONSUR)
61,Aleppo/???,Al Bab/?????,Azaz,C1564,,Shabiran Camp (west of Qabasin),,1,,233,1400,KOBO,international Association for relief and development (ONSUR)
623,Idleb/????,Ma'arrat An Nu'man/???? ???? ???????,Kherbet Eljoz,C4231,Kherbet Eljoz,East Dana Camp,,1,,233,1022,KOBO,international Association for relief and development (ONSUR)
1431,Idleb/????,Badama/?????,Kherbet Eljoz,C4231,Kherbet Eljoz,Saladin2,,5,,194,784,KOBO,international Association for relief and development (ONSUR)
849,Idleb/????,Dana/????,Kherbet Eljoz,C4231,Kherbet Eljoz,Salah Eldin (including Al Islah)/ ???? ?????,,2,,180,912,KOBO,international Association for relief and development (ONSUR)
487,Aleppo/???,Daret Azza/???? ???,Kherbet Eljoz,C4231,Kherbet Eljoz,Madajen Hur,,3,,138,574,KOBO,international Association for relief and development (ONSUR)
587,Idleb/????,Kafr Nobol/??? ???,Kherbet Eljoz,C4231,Kherbet Eljoz,Um Alseer Camp,CP000332,2,informal_settlement,113,677,KOBO,international Association for relief and development (ONSUR)
302,Aleppo/???,Jarablus/??????,Kherbet Eljoz,C4231,Kherbet Eljoz,Al-Mal`ab,,3,,107,458,KOBO,international Association for relief and development (ONSUR)
1435,Idleb/????,Badama/?????,Kherbet Eljoz,C4231,Kherbet Eljoz,Shuhadaa Syria,,2,,92,393,KOBO,international Association for relief and development (ONSUR)
817,Idleb/????,Dana/????,Daret Azza,C1139,,Ehsas 1/ ????? 1,,3,collective_centre,867,5204,Mobile Data Collection Tool,JANAWATAN
671,Idleb/????,Ma'arrat An Nu'man/???? ???? ???????,Daret Azza,C1139,,Jedar Marata,,5,,205,1230,Mobile Data Collection Tool,JANAWATAN
134,Aleppo/???,Azaz/?????,Daret Azza,C1139,,Al-Shabeba,,10,,147,882,Mobile Data Collection Tool,JANAWATAN
301,Aleppo/???,Jarablus/??????,Daret Azza,C1139,,Al-Khalawi Camp,,10,,146,875,Mobile Data Collection Tool,JANAWATAN
367,Aleppo/???,Atareb/?????,Zarzita,C1138,,Alsafa Association,,5,,108,650,Mobile Data Collection Tool,JANAWATAN
1379,Idleb/????,Maaret Tamsrin/???? ??????,Zarzita,C1138,,Albnian 2,,5,,104,625,Mobile Data Collection Tool,JANAWATAN
416,Aleppo/???,Atareb/?????,Deir Samaan,C6766,,Rama,,5,,91,548,Mobile Data Collection Tool,JANAWATAN
779,Idleb/????,Dana/????,Daret Azza,C1139,,Al Takaful/ ???????,,5,,50,300,Mobile Data Collection Tool,JANAWATAN
811,Idleb/????,Dana/????,Deir Samaan,C6766,,Doaa/ ??????,,5,,29,174,Mobile Data Collection Tool,JANAWATAN
1291,Idleb/????,Harim/????,Zarzita,C1138,,alfrdan mud houses,,5,,13,75,Mobile Data Collection Tool,JANAWATAN
858,Idleb/????,Dana/????,Shamarin,C1566,Azaz,Southern Aleppo countryside,CP000004,5,informal_settlement,1269,7614,Both ,Maram
1290,Idleb/????,Harim/????,Albil,C1669,Azaz,alfrdan,CP000494,48,formal_camp,454,2725,Both ,Maram
364,Aleppo/???,Atareb/?????,Azaz,C1564,,Al Manahel Housing cluster,,3,,267,1600,Both ,Maram
1369,Idleb/????,Idleb/????,Hoteh,C1146,,Northern Ora Camps,,18,collective_centre,6440,38642,Mobile Data Collection,SECD
119,Aleppo/???,Azaz/?????,Maaret Atarib,C1038,,Abo Algolan Camp,,28,collective_centre,3247,19484,Mobile Data Collection,SECD
407,Aleppo/???,Atareb/?????,Hoteh,C1146,,orem alsoghra camps,,9,collective_centre,3198,19190,Mobile Data Collection,SECD
1430,Idleb/????,Badama/?????,Hoteh,C1146,,Saladin1,,2,collective_centre,3069,18414,Mobile Data Collection,SECD
1193,Idleb/????,Dana/????,Hoteh,C1146,,Ghetaa Al Rahma2 (Al Kamouneh)/  (???? ??????2 (???????,,4,collective_centre,2560,15360,Mobile Data Collection,SECD
256,Aleppo/???,Ghandorah/??????,Hoteh,C1146,,Harakat Camp,,6,collective_centre,2409,14455,Mobile Data Collection,SECD
575,Idleb/????,Kafr Nobol/??? ???,Hur,C1140,,Alrahma camp,,6,collective_centre,2151,12903,Mobile Data Collection,SECD
347,Aleppo/???,Atareb/?????,Atareb,C1022,,collection of Batbu camp,,29,collective_centre,2048,12288,Mobile Data Collection,SECD
752,Idleb/????,Dana/????,Majbineh,C1148,,Al Hiba/ ?????,,3,collective_centre,1699,10191,Mobile Data Collection,SECD
440,Aleppo/???,Daret Azza/???? ???,Majbineh,C1148,,Alqatareeh camp,,2,collective_centre,1331,7984,Mobile Data Collection,SECD
349,Aleppo/???,Atareb/?????,Hoteh,C1146,,Kafar Hood Camp,,4,collective_centre,1297,7783,Mobile Data Collection,SECD
1394,Idleb/????,Maaret Tamsrin/???? ??????,Hoteh,C1146,,Maaret Tamsrin Camps,,3,collective_centre,1251,7503,Mobile Data Collection,SECD
56,Aleppo/???,Al Bab/?????,Hoteh,C1146,,Al hal Souq,,4,collective_centre,1250,7498,Mobile Data Collection,SECD
1423,Idleb/????,Badama/?????,Batbu,C1025,,Al-Naher,,5,,1136,6817,Mobile Data Collection,SECD
358,Aleppo/???,Atareb/?????,Majbineh,C1148,,Southern Batabo Camp,,3,collective_centre,1116,6693,Mobile Data Collection,SECD
479,Aleppo/???,Daret Azza/???? ???,Little Orm,C1027,,Koga Chicken Farm,,15,,924,5267,Mobile Data Collection,SECD
70,Aleppo/???,Al Bab/?????,Hur,C1140,,Tarhen informal site,,2,collective_centre,609,3654,Mobile Data Collection,SECD
1197,Idleb/????,Dana/????,Reif Al-Muhandiseen,C8057,,Islamuna 2/ ??????? 2,,37,,597,3403,Mobile Data Collection,SECD
1428,Idleb/????,Badama/?????,Batbu,C1025,,Omar Al-Farouk,,10,,561,3364,Mobile Data Collection,SECD
